filename,quality,seo,eeat,readability,schema,internal_links,needs_update,is_delete_candidate
2026-06-16-baby-names-born-from-legends-mythological-monikers-for-your-little-hero-or-heroi.md,73.3,90.0,85.0,45.0,0.0,0.0,quality_below_95;eeat_below_90;readability_below_80;schema_below_90,False
2026-06-16-beautiful-baby-girl-names-from-around-the-world.md,75.0,90.0,100.0,35.0,0.0,0.0,quality_below_95;readability_below_80;schema_below_90,False
2026-06-16-biblical-baby-names-timeless-choices-for-modern-parents.md,73.3,90.0,85.0,45.0,0.0,0.0,quality_below_95;eeat_below_90;readability_below_80;schema_below_90,False
2026-06-16-bohemian-baby-names-artistic-flair-for-your-little-free-spirit.md,78.3,90.0,100.0,45.0,0.0,0.0,quality_below_95;readability_below_80;schema_below_90,False
2026-06-16-gender-neutral-baby-names-the-rise-of-modern-flexible-choices.md,78.3,90.0,100.0,45.0,0.0,0.0,quality_below_95;readability_below_80;schema_below_90,False
2026-06-16-musical-baby-names-for-your-little-maestro.md,75.0,90.0,85.0,50.0,0.0,0.0,quality_below_95;eeat_below_90;readability_below_80;schema_below_90,False
2026-06-16-names-with-powerful-meanings-inspire-courage-love-and-wisdom.md,60.22,50.0,55.0,30.0,90.0,80.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
2026-06-16-natures-embrace-earthy-botanical-baby-names-for-girls-boys.md,61.56,55.0,55.0,30.0,90.0,80.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
2026-06-16-powerful-picks-strong-baby-boy-names-with-profound-meanings.md,62.78,65.0,55.0,30.0,90.0,80.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
2026-06-16-short-sweet-discovering-perfect-one-syllable-baby-names.md,61.0,55.0,55.0,30.0,90.0,80.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
2026-06-16-the-hottest-picks-trending-baby-names-for-the-current-year.md,65.56,65.0,65.0,45.0,90.0,80.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
2026-06-16-timeless-literary-baby-names-from-classic-novels-1.md,61.11,55.0,55.0,30.0,90.0,80.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,True
2026-06-16-timeless-literary-baby-names-from-classic-novels.md,62.11,45.0,55.0,33.0,90.0,80.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
2026-06-16-vintage-baby-names-making-a-comeback-timeless-charm-for-today.md,52.56,30.0,45.0,48.0,90.0,20.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,True
2026-06-16-vintage-baby-names-making-a-comeback-timeless-charm-for-your-little-one.md,59.67,40.0,60.0,42.0,90.0,80.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
2026-06-17-100-greek-god-and-goddess-baby-names.md,65.67,90.0,60.0,38.0,90.0,80.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-17-100-popular-baby-names-right-now.md,70.33,90.0,60.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-17-100-space-baby-names-and-meanings.md,68.56,90.0,60.0,35.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-17-100-unique-baby-boy-names.md,69.22,75.0,65.0,38.0,90.0,80.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
2026-06-17-rooted-in-love-wholesome-farmhouse-baby-names-for-a-nostalgic-touch.md,60.22,45.0,55.0,30.0,90.0,80.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
2026-06-17-rooted-in-nature-the-best-tree-and-forest-baby-names-for-your-little-sapling.md,63.11,50.0,60.0,33.0,90.0,80.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
2026-06-17-social-media-inspired-baby-names-for-the-digital-age.md,64.33,75.0,55.0,36.0,90.0,80.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
2026-06-17-timeless-elegance-irish-baby-names-full-of-celtic-charm.md,63.67,65.0,55.0,33.0,90.0,80.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
2026-06-17-timeless-elegance-reviving-old-fashioned-baby-names-with-old-world-charm.md,52.44,40.0,50.0,33.0,90.0,0.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
2026-06-18-100-baby-names-that-mean-love.md,66.22,75.0,55.0,35.0,90.0,90.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
2026-06-18-100-forest-baby-names-for-nature-lovers.md,68.89,90.0,60.0,35.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-18-100-norse-baby-names-for-boys.md,68.11,75.0,60.0,38.0,90.0,90.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
2026-06-18-100-southern-baby-names-with-charm.md,68.89,90.0,55.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-18-100-strong-baby-names-for-boys.md,72.0,90.0,60.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-19-100-arabic-baby-names-and-meanings.md,69.33,90.0,75.0,41.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-19-100-biblical-girl-names-and-meanings.md,69.22,90.0,60.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-19-100-bohemian-baby-names-with-meanings.md,70.33,90.0,60.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-19-100-elegant-baby-girl-names.md,68.11,75.0,60.0,38.0,90.0,90.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
2026-06-20-100-baby-names-that-mean-peace.md,67.89,90.0,60.0,35.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-20-100-color-baby-names-and-meanings.md,72.56,90.0,65.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-20-100-fantasy-baby-names-and-meanings.md,72.0,90.0,65.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-20-100-retro-baby-names-from-the-1950s.md,74.22,90.0,80.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-21-100-country-baby-names-for-boys-and-girls.md,68.0,90.0,60.0,41.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-21-100-explorer-baby-names-inspired-by-adventure.md,70.33,90.0,60.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-21-100-italian-baby-names-and-meanings.md,71.44,90.0,60.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-21-100-powerful-baby-boy-names-and-meanings.md,72.0,90.0,60.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-22-100-earthy-baby-names-and-meanings.md,73.67,90.0,80.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-22-100-old-fashioned-baby-names-making-a-comeback.md,69.22,90.0,65.0,41.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-22-100-star-names-for-babies.md,65.33,75.0,55.0,38.0,90.0,90.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
2026-06-22-100-strong-boy-names-that-mean-powerful.md,72.0,90.0,60.0,38.0,90.0,100.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-22-100-unisex-baby-names-for-boys-and-girls.md,71.44,90.0,80.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-23-100-beautiful-baby-girl-names-and-meanings.md,72.89,90.0,60.0,41.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-23-100-biblical-baby-names-and-meanings.md,69.78,90.0,60.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-23-100-bird-baby-names-and-meanings.md,69.11,90.0,55.0,35.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-23-100-celestial-baby-names-inspired-by-stars.md,69.78,90.0,65.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-23-100-gender-neutral-baby-names-for-modern-families.md,73.11,90.0,80.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-23-100-hebrew-baby-names-and-meanings.md,69.22,90.0,60.0,41.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-23-100-indian-baby-names-and-meanings.md,69.22,90.0,55.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-23-100-kingdom-baby-names-and-meanings.md,70.67,90.0,60.0,41.0,90.0,80.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-23-100-moon-baby-names-and-meanings.md,69.22,90.0,60.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-23-100-unique-baby-girl-names-and-meanings.md,70.33,90.0,60.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-23-100-viking-baby-names-and-meanings.md,69.78,90.0,60.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-23-100-vintage-baby-boy-names-and-meanings.md,72.89,90.0,65.0,41.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-23-100-vintage-baby-girl-names-with-meanings.md,71.78,90.0,75.0,41.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-23-100-vintage-baby-names-for-boys-and-girls.md,71.78,90.0,65.0,41.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-23-100-warrior-baby-names-and-meanings.md,70.33,90.0,60.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-24-100-animal-baby-names-for-babies.md,69.56,90.0,60.0,35.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-24-100-baby-names-that-mean-joy.md,66.22,75.0,65.0,35.0,90.0,80.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
2026-06-24-100-beach-baby-names-for-summer-babies.md,70.0,90.0,60.0,35.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-24-100-best-middle-names-for-boys.md,73.67,90.0,75.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-25-100-celtic-baby-names-and-meanings.md,71.56,90.0,60.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
2026-06-25-100-korean-baby-names-and-meanings.md,71.0,90.0,60.0,38.0,90.0,90.0,quality_below_95;eeat_below_90;readability_below_80,False
example.md,53.78,60.0,60.0,30.0,90.0,80.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
